"","Player","Matches","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","faceoffs_Lost","Puck_Recovery","penalty_Taken","penalty_Given","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","zone_entry_Target","Mean_x","Mean_y","Position","Rating"
"1","Stephanie Anderson",4,0,0,2,10,0,6,11,4,3,9,9,4,14,18,0,14,16,51,18,30,69,15,2,38,52,60,0,3,19,13,5,1,0,98.1296296296296,41.7296296296296,"Defensive",6.96447315926618
"2","Mallory Souliotis",7,0,2,11,9,0,10,14,9,9,24,8,6,26,32,3,48,36,120,55,84,175,24,3,0,0,196,0,4,22,8,6,4,65,79.3123877917415,30.1220825852783,"Defensive",7.55671937621034
"3","Sydney Baldwin",4,0,0,5,9,0,18,13,10,9,26,6,0,32,32,1,28,21,79,33,49,112,19,4,0,0,126,2,1,21,5,4,2,61,69.710875331565,29.5888594164456,"Defensive",9.31549836644546
"4","Kaleigh Fratkin",7,0,1,21,10,0,4,9,11,16,26,10,12,24,36,0,40,50,169,73,90,242,34,7,0,0,233,5,0,16,8,11,4,92,77.298833819242,52.030612244898,"Defensive",10
"5","Chelsey Brodt-Rosenthal",4,0,0,1,1,0,1,1,0,2,2,1,0,3,3,0,11,16,15,18,27,33,14,3,0,0,74,3,1,4,0,4,0,47,61.9151515151515,55.2,"Defensive",2.41260166965685
"6","Emma Stauber",4,0,0,0,5,0,6,2,3,6,9,2,0,11,11,0,15,25,41,29,40,70,13,0,0,0,81,5,2,6,4,3,1,49,63.2051282051282,27.7905982905983,"Defensive",4.85917501404975
"7","Taylor Turnquist",7,0,0,6,18,0,15,8,13,18,29,10,3,36,39,0,29,25,92,56,54,148,24,5,0,0,156,2,1,17,15,5,3,64,85.0384615384615,52.034188034188,"Defensive",6.29777402713011
"8","Winny Brodt-Brown",4,0,0,0,1,0,4,0,2,3,5,0,0,5,5,1,10,10,26,8,20,34,4,0,0,0,48,2,0,7,5,1,0,25,63.3464566929134,31.9685039370079,"Defensive",2.34061709282015
"9","Lauren Kelly",7,0,2,13,16,0,11,14,13,15,27,15,2,40,42,2,40,37,88,54,77,142,36,5,0,0,174,3,1,19,5,12,3,67,77.7615384615385,30.1269230769231,"Defensive",6.64293899540642
"10","Jenna Rheault",3,0,1,2,0,0,1,0,3,1,3,1,1,3,4,0,5,5,15,6,10,21,3,0,0,0,25,1,0,4,3,2,0,12,72.7397260273973,50.013698630137,"Defensive",1.93411095287695
"11","Paige Capistran",7,0,0,2,5,0,9,7,2,7,9,7,0,16,16,0,26,27,50,47,53,97,21,1,0,0,135,2,1,8,2,6,0,67,60.683284457478,50.741935483871,"Defensive",3.83592829851752
"12","Maddie Rowe",4,0,0,4,3,0,3,4,3,3,8,2,1,9,10,0,22,21,44,36,43,80,12,2,0,0,103,1,1,12,3,4,0,57,55.237037037037,54.9,"Defensive",5.93618216170513
"13","Sara Bustad",4,0,1,0,4,0,7,3,4,5,9,3,0,12,12,0,8,12,13,14,20,27,7,1,1,0,45,1,1,2,1,5,0,23,71.7868852459016,52.1393442622951,"Defensive",1.88012063510135
"14","Lynn Astrup",4,0,0,0,2,0,0,0,1,1,2,0,1,1,2,0,4,1,0,3,5,3,4,0,2,4,7,0,0,2,2,2,0,0,91.3793103448276,29.9655172413793,"Defensive",0
"15","Brooke White",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,4,7,1,1,1,0,9,0,0,2,3,0,0,0,90.2142857142857,45,"Defensive",0.114023208020157
"16","Rose Alleva",3,0,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,2,3,2,2,5,0,0,0,0,7,1,0,0,0,0,0,15,69.7058823529412,46.2352941176471,"Defensive",0.0662021306145842
"17","Tori Howran",3,0,0,4,5,0,4,5,3,5,9,4,1,12,13,1,13,22,55,19,35,74,15,1,0,0,90,0,1,13,6,3,0,32,80.6374501992032,31.2231075697211,"Defensive",7.78027526690959
"18","Shannon Doyle",4,0,0,9,4,0,6,4,8,7,15,4,2,17,19,0,29,30,65,34,59,99,22,1,0,0,125,0,3,17,1,3,2,51,63.764367816092,47.8735632183908,"Defensive",7.98285562026934
"19","Alyson Matteau",6,0,0,6,10,0,7,8,5,10,18,5,4,19,23,0,32,17,79,51,49,130,19,1,0,0,148,1,3,28,12,5,0,77,67.1754807692308,37.5552884615385,"Defensive",6.78132437792313
"20","Marie-Jo Pelletier",6,0,0,4,7,0,8,4,6,9,16,3,1,18,19,0,32,22,88,43,54,131,35,5,0,0,145,0,0,24,12,8,0,70,70.0369515011547,48.2678983833718,"Defensive",6.77265667552056
"21","Whitney Dove",6,0,4,1,11,0,7,8,8,7,18,5,5,18,23,0,31,20,72,33,51,105,22,2,0,0,149,5,2,15,16,3,1,80,71.7423469387755,35.7091836734694,"Defensive",5.32987574065095
