"","Player","Rating"
"1","Kaleigh Fratkin",10
"2","Sydney Baldwin",9.31549836644546
"3","Kiira Dosdall",9.02296778805229
"4","Taylor Woods",8.08468120810961
"5","Shannon Doyle",7.98285562026934
"6","Tori Howran",7.78027526690959
"7","Mallory Souliotis",7.55671937621034
"8","Lindsay Eastwood",7.51312595225835
"9","Rebecca Morse",7.23124787063186
"10","Sarah Steele",6.97927645375814
"11","Stephanie Anderson",6.96447315926618
"12","Maggie LaGue",6.87109707338136
"13","Alyson Matteau",6.78132437792313
"14","Marie-Jo Pelletier",6.77265667552056
"15","Lauren Kelly",6.64293899540642
"16","Taylor Turnquist",6.29777402713011
"17","Maddie Rowe",5.93618216170513
"18","Dominique Kremer",5.66778539808212
"19","Whitney Dove",5.32987574065095
"20","Megan Quinn",5.19804204795087
"21","Sammy Kolowrat",5.06985705233571
"22","Leila Kilduff",5.05874713060075
"23","Emma Stauber",4.85917501404975
"24","Lisa Chesson",4.71221766866027
"25","Hanna Beattie",4.5458722625881
"26","Saroya Tinker",4.50255857425107
"27","Kristen Barbara",4.31458047867762
"28","Taylor Marchin",3.86818314931874
"29","Briana Mastel",3.8475610078891
"30","Paige Capistran",3.83592829851752
"31","Emma Greco",3.73660184947997
"32","Elena Orlando",3.3712527381957
"33","Lenka Curmova",3.1308740156897
"34","Megan Delay",2.60889304447564
"35","Cailey Hutchison",2.53551252824062
"36","Allie Olnowich",2.43744445583769
"37","Chelsey Brodt-Rosenthal",2.41260166965685
"38","Winny Brodt-Brown",2.34061709282015
"39","Jenna Rheault",1.93411095287695
"40","Sara Bustad",1.88012063510135
"41","Laurel Hill",1.83843191007411
"42","Neve Van Pelt",1.69914978715717
"43","Brooke Avery",1.63899477349131
"44","Hunter Accursi",0.787012643352529
"45","Jayne Lewis",0.611555281190303
"46","Brooke White",0.114023208020157
"47","Rose Alleva",0.0662021306145842
"48","Lynn Astrup",0
