"","Player","Matches","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","faceoffs_Lost","Puck_Recovery","penalty_Taken","penalty_Given","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","zone_entry_Target","Mean_x","Mean_y","Position","Rating"
"1","Jillian Dempsey",6,2,0,0,15,0,7,14,6,4,8,16,4,20,24,3,23,13,60,20,36,80,10,0,70,27,72,0,2,22,16,1,2,0,123.922619047619,43.0238095238095,"Offensive",5.0847566631527
"2","McKenna Brand",7,1,2,3,28,1,20,23,12,20,28,27,6,49,55,3,19,15,104,38,34,142,18,6,6,6,111,2,2,7,41,13,1,0,137.849658314351,46.2277904328018,"Offensive",7.16194288702882
"3","Tereza Vanisova",7,1,0,3,14,1,11,14,10,6,10,20,3,27,30,0,30,5,109,29,35,138,4,1,51,26,116,5,2,17,58,3,1,0,129.618736383442,43.4291938997821,"Offensive",6.95047352083004
"4","Samantha Davis",7,3,5,4,14,1,7,19,12,3,18,16,6,28,34,4,31,17,90,29,48,119,14,7,5,3,111,1,4,18,41,11,2,0,134.431325301205,37.4048192771084,"Offensive",6.10747351762728
"5","Meghan Lorence",4,2,1,1,5,1,11,14,3,4,12,9,2,19,21,0,18,11,56,17,29,73,13,2,1,0,53,1,1,11,17,6,2,0,126.515283842795,59.825327510917,"Offensive",5.88263102386826
"6","Taylor Wenczkowski",7,2,0,3,20,0,11,17,10,9,17,19,2,34,36,1,21,10,63,29,31,92,14,5,4,1,90,3,3,9,16,3,0,0,130.993421052632,43.5460526315789,"Offensive",4.24968237708689
"7","Allie Thunstrom",4,2,1,0,16,2,7,12,10,6,11,17,4,24,28,0,14,10,23,22,24,45,22,2,1,9,57,2,2,14,27,4,1,0,118.281938325991,53.2290748898678,"Offensive",5.5942492443126
"8","Nina Rodgers",4,0,1,1,7,1,7,5,7,5,6,11,4,13,17,2,10,7,33,16,17,49,9,0,1,5,48,3,1,13,7,1,1,0,116.190476190476,31.8214285714286,"Offensive",3.89296079580321
"9","Christina Putigna",7,0,1,1,17,0,18,21,6,10,16,21,3,34,37,2,34,13,65,33,47,98,16,4,3,2,102,1,2,14,26,12,3,0,134.049315068493,31.4767123287671,"Offensive",5.08466833457694
"10","Haylea Schmid",3,0,0,0,4,0,5,5,1,3,6,3,0,9,9,1,10,5,19,6,15,25,5,0,11,17,27,1,0,10,6,2,2,0,114.991228070175,38.6578947368421,"Offensive",2.88918074023462
"11","Lexie Laing",7,1,2,0,12,0,8,13,4,6,9,14,3,20,23,1,32,14,49,26,46,75,20,3,55,39,74,1,2,17,14,7,3,0,123.129793510324,38.5044247787611,"Offensive",3.93150245399283
"12","Mary Parker",4,1,0,1,6,0,2,5,2,3,5,5,0,10,10,0,8,6,24,10,14,34,7,3,0,1,37,0,1,6,11,4,0,0,122.198412698413,41.5079365079365,"Offensive",2.39134736980656
"13","Tori Sullivan",7,0,1,1,6,0,5,4,4,5,7,6,2,11,13,0,8,8,67,19,16,86,10,0,1,0,58,0,7,14,14,6,1,0,120.86301369863,37.8721461187215,"Offensive",2.7129945054578
"14","Carlee Turner",7,1,1,2,12,1,6,14,7,2,8,15,3,20,23,0,17,5,41,16,22,57,17,2,32,26,63,1,2,14,18,2,0,0,112.613545816733,41.1752988047809,"Offensive",2.88183378455888
"15","Meaghan Rickard",7,1,0,0,10,1,6,8,4,6,6,12,1,17,18,2,13,8,20,9,21,29,12,1,0,3,48,0,1,12,17,8,1,0,129.112426035503,31.8224852071006,"Offensive",1.29049570434611
"16","Meghara McManus",7,0,1,1,16,0,6,15,2,7,9,15,0,24,24,1,19,9,26,5,28,31,21,5,2,5,51,2,5,17,28,8,1,0,125.082191780822,51.6666666666667,"Offensive",2.01252701990109
"17","Haley Mack",4,0,0,0,9,0,4,9,3,1,5,8,1,12,13,2,20,8,47,15,28,62,8,0,6,4,59,1,1,4,26,3,2,0,133.570093457944,34.2289719626168,"Offensive",5.20255507329498
"18","Jonna Curtis",4,0,1,0,11,1,7,15,0,5,6,14,1,19,20,1,26,11,40,17,37,57,20,4,26,36,72,0,2,10,26,6,1,0,118.146428571429,34.6857142857143,"Offensive",6.58067480351866
