"","Player","Event","N"
"1","McKenna Brand","Puck Recovery",111
"2","Samantha Davis","Puck Recovery",111
"3","Stephanie Anderson","Puck Recovery",60
"4","Sydney Baldwin","Puck Recovery",126
"5","Kaleigh Fratkin","Puck Recovery",233
"6","Mallory Souliotis","Puck Recovery",196
"7","Chelsey Brodt-Rosenthal","Puck Recovery",74
"8","Emma Stauber","Puck Recovery",81
"9","Christina Putigna","Puck Recovery",102
"10","Allie Thunstrom","Puck Recovery",57
"11","Taylor Turnquist","Puck Recovery",156
"12","Winny Brodt-Brown","Puck Recovery",48
"13","Jillian Dempsey","Puck Recovery",72
"14","Lauren Kelly","Puck Recovery",174
"15","Mary Parker","Puck Recovery",37
"16","Jenna Rheault","Puck Recovery",25
"17","Tori Sullivan","Puck Recovery",58
"18","Carlee Turner","Puck Recovery",63
"19","Meaghan Rickard","Puck Recovery",48
"20","Amanda Leveille","Puck Recovery",35
"21","Haley Mack","Puck Recovery",59
"22","Tereza Vanisova","Puck Recovery",116
"23","Taylor Wenczkowski","Puck Recovery",90
"24","Audra Richards","Puck Recovery",51
"25","Paige Capistran","Puck Recovery",135
"26","Jonna Curtis","Puck Recovery",72
"27","Meaghan Pezon","Puck Recovery",44
"28","Lynn Astrup","Puck Recovery",7
"29","Sara Bustad","Puck Recovery",45
"30","Brooke White","Puck Recovery",9
"31","Lexie Laing","Puck Recovery",74
"32","Maddie Rowe","Puck Recovery",103
"33","Meghara McManus","Puck Recovery",51
"34","Nina Rodgers","Puck Recovery",48
"35","Lovisa Selander","Puck Recovery",22
"36","Rose Alleva","Puck Recovery",7
"37","Meghan Lorence","Puck Recovery",53
"38","Haylea Schmid","Puck Recovery",27
"39","Tori Howran","Puck Recovery",90
"40","Alyson Matteau","Puck Recovery",148
"41","Abbie Ives","Puck Recovery",22
"42","Marie-Jo Pelletier","Puck Recovery",145
"43","Janine Weber","Puck Recovery",56
"44","Shannon Doyle","Puck Recovery",125
"45","Carly Jackson","Puck Recovery",55
"46","Emma Vlasic","Puck Recovery",62
"47","Dominique Kremer","Puck Recovery",134
"48","Alyssa Wohlfeiler","Puck Recovery",52
"49","Autumn MacDougall","Puck Recovery",77
"50","Maggie LaGue","Puck Recovery",108
"51","Whitney Dove","Puck Recovery",149
"52","Katelynn Russ","Puck Recovery",56
"53","Brooke Stacey","Puck Recovery",55
"54","Elena Orlando","Puck Recovery",76
"55","Taylor Marchin","Puck Recovery",74
"56","Megan Delay","Puck Recovery",92
"57","Sarah Schwenzfeier","Puck Recovery",48
"58","Grace Klienbach","Puck Recovery",26
"59","Amanda Conway","Puck Recovery",24
"60","Mackenzie Lancaster","Puck Recovery",38
