"","period_id","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","Puck_Recovery","penalty_Taken","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","Outcome"
"1","23-01-2021 - Boston Pride - 1",0,2,0,11,1,2,10,2,4,10,6,1,15,16,1,17,5,32,9,22,41,9,2,13,55,1,7,11,2,0,"won"
"2","23-01-2021 - Minnesota Whitecaps - 1",0,0,0,8,1,0,6,2,1,1,8,0,9,9,1,9,1,10,7,10,17,11,2,3,36,1,4,7,4,2,"draw_lost"
"3","23-01-2021 - Boston Pride - 2",2,0,0,5,0,9,12,1,3,10,6,1,15,16,0,15,4,33,23,19,56,8,3,8,55,0,8,16,4,2,"draw_lost"
"4","23-01-2021 - Minnesota Whitecaps - 2",1,1,0,7,0,8,8,4,5,13,4,3,14,17,0,6,6,24,15,12,39,7,0,4,33,1,1,14,1,2,"won"
"5","23-01-2021 - Minnesota Whitecaps - 3",1,0,0,6,1,2,2,6,2,4,6,1,9,10,0,16,8,28,15,24,43,6,0,2,36,0,4,12,1,1,"won"
"6","23-01-2021 - Boston Pride - 3",0,0,1,9,0,3,10,2,1,6,7,1,12,13,0,7,7,33,9,14,42,7,2,12,44,1,7,13,3,0,"draw_lost"
"7","23-01-2021 - Connecticut Whale - 1",1,0,0,10,0,7,10,3,5,9,9,4,14,18,0,17,7,21,12,24,33,12,3,11,45,1,9,11,7,1,"won"
"8","23-01-2021 - Buffalo Beauts - 1",0,2,0,2,0,2,3,2,1,2,4,1,5,6,0,13,9,16,13,22,29,12,2,7,33,0,5,9,7,1,"draw_lost"
"9","23-01-2021 - Connecticut Whale - 2",1,1,0,13,0,3,9,4,5,12,6,0,18,18,1,22,8,16,8,30,24,11,3,16,66,0,9,8,1,1,"won"
"10","23-01-2021 - Buffalo Beauts - 2",0,1,1,6,0,1,4,4,1,6,3,1,8,9,0,11,10,18,7,21,25,10,0,5,36,0,9,12,5,0,"draw_lost"
"11","23-01-2021 - Connecticut Whale - 3",3,2,0,9,0,9,10,7,6,8,15,1,22,23,0,20,8,31,15,28,46,10,3,13,51,1,3,15,4,0,"won"
"12","23-01-2021 - Buffalo Beauts - 3",0,1,0,6,1,2,7,2,1,3,7,2,8,10,1,12,5,22,6,17,28,11,2,6,42,2,3,6,5,2,"draw_lost"
"13","23-01-2021 - Connecticut Whale - 4",0,0,0,4,0,0,1,2,1,1,3,0,4,4,0,7,0,3,1,7,4,1,0,1,12,0,3,4,0,0,"won"
